,Question,Context,Value,prompt
1874,the value of Scope 2 CO2e emissions (indirect - electricity purchased) (tonnes) in Oceana1&2 document in 2021?,"17. Off peak demand consumption values were adjusted to Energy Consumption (All). Note pe changes in scope 2 emissions will impact on Total greenhouse gas (CO 2 equivalent) calculations.
18. Green certificates issued to Eurasia resulting in reduction of non-renewable electricity and scope 2 emissions. Note pe changes in scope 2 emissions will impact on Total greenhouse gas (CO 2 equivalent) calculations.
19. The increase in scope 2 emissions is attributed to pe inclusion of steam purchased from pe joint venture wip LyondellBasell.
20.  
   748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   14. Mepodological improvements as well as detailed site assessments allowed for more comprehensive reporting of emissions. Note pe changes to mepane, nitrous oxide, scope 1 will impact on pe calculation of Direct carbon dioxide (CO 2) Scope 1 (CO 2 equivalent) and Total greenhouse gas (CO 2 equivalent).
15. Reporting improvement to reflect latest values and ensure concise and comprehensive reporting.",51007.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 2 CO2e emissions (indirect - electricity purchased) (tonnes) in Oceana1&2 document in 2021?[/INST] [INST]Context: 17. Off peak demand consumption values were adjusted to Energy Consumption (All). Note pe changes in scope 2 emissions will impact on Total greenhouse gas (CO 2 equivalent) calculations.
18. Green certificates issued to Eurasia resulting in reduction of non-renewable electricity and scope 2 emissions. Note pe changes in scope 2 emissions will impact on Total greenhouse gas (CO 2 equivalent) calculations.
19. The increase in scope 2 emissions is attributed to pe inclusion of steam purchased from pe joint venture wip LyondellBasell.
20.  
   748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   14. Mepodological improvements as well as detailed site assessments allowed for more comprehensive reporting of emissions. Note pe changes to mepane, nitrous oxide, scope 1 will impact on pe calculation of Direct carbon dioxide (CO 2) Scope 1 (CO 2 equivalent) and Total greenhouse gas (CO 2 equivalent).
15. Reporting improvement to reflect latest values and ensure concise and comprehensive reporting.[/INST]
[INST]The result value for the metric in 2022 is: 51007.0[/INST]
"
1875,"the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2019?","748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   478|59,268|
|---|---|---|---|
|Carbon emissions (tonnes CO2e) – Scope 2|92,647|64,893|77,621|
|Total carbon emissions (tonnes CO2e) – Scope 1 and 2|168,820|134,371|136,889|
|Carbon emissions (Tonnes CO2e) – Scope 3|320,431|296,909|222,852|
|Total carbon emissions (tonnes of carbon dioxide equivalents, CO2e) – Scopes 1,",76485.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2019?[/INST] [INST]Context: 748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   478|59,268|
|---|---|---|---|
|Carbon emissions (tonnes CO2e) – Scope 2|92,647|64,893|77,621|
|Total carbon emissions (tonnes CO2e) – Scope 1 and 2|168,820|134,371|136,889|
|Carbon emissions (Tonnes CO2e) – Scope 3|320,431|296,909|222,852|
|Total carbon emissions (tonnes of carbon dioxide equivalents, CO2e) – Scopes 1,[/INST]
[INST]The result value for the metric in 2022 is: 76485.0[/INST]
"
1876,"the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2020?","748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   14. Mepodological improvements as well as detailed site assessments allowed for more comprehensive reporting of emissions. Note pe changes to mepane, nitrous oxide, scope 1 will impact on pe calculation of Direct carbon dioxide (CO 2) Scope 1 (CO 2 equivalent) and Total greenhouse gas (CO 2 equivalent).
15. Reporting improvement to reflect latest values and ensure concise and comprehensive reporting.",68227.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2020?[/INST] [INST]Context: 748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   14. Mepodological improvements as well as detailed site assessments allowed for more comprehensive reporting of emissions. Note pe changes to mepane, nitrous oxide, scope 1 will impact on pe calculation of Direct carbon dioxide (CO 2) Scope 1 (CO 2 equivalent) and Total greenhouse gas (CO 2 equivalent).
15. Reporting improvement to reflect latest values and ensure concise and comprehensive reporting.[/INST]
[INST]The result value for the metric in 2022 is: 68227.0[/INST]
"
1877,"the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2021?","1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   478|59,268|
|---|---|---|---|
|Carbon emissions (tonnes CO2e) – Scope 2|92,647|64,893|77,621|
|Total carbon emissions (tonnes CO2e) – Scope 1 and 2|168,820|134,371|136,889|
|Carbon emissions (Tonnes CO2e) – Scope 3|320,431|296,909|222,852|
|Total carbon emissions (tonnes of carbon dioxide equivalents, CO2e) – Scopes 1,",63404.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes) in Oceana1&2 document in 2021?[/INST] [INST]Context: 1|E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 2| | | | | |761 910|816 944|766 174|703 438|305-2| |E1.1a|
|Carbon Emissions (tonnes CO2e) – Scope 3| | | | | |452 280|475 222|482 615|507 967|305-3| |E1.  
   748|6,607|
|Indirect scope 3|36,664|37,557|
|GHG intensity (CO2e/ton of product meant for external sale)|4.12|3.86|

The combined GHG emissions from methane, nitrous oxides and carbon dioxide (scope 1) are quantified as carbon dioxide equivalents (CO2e) and recorded as direct scope 1 CO2e emissions. In FY23, we observed an increase in our direct scope 1 CO2e GHG emissions.  
   478|59,268|
|---|---|---|---|
|Carbon emissions (tonnes CO2e) – Scope 2|92,647|64,893|77,621|
|Total carbon emissions (tonnes CO2e) – Scope 1 and 2|168,820|134,371|136,889|
|Carbon emissions (Tonnes CO2e) – Scope 3|320,431|296,909|222,852|
|Total carbon emissions (tonnes of carbon dioxide equivalents, CO2e) – Scopes 1,[/INST]
[INST]The result value for the metric in 2022 is: 63404.0[/INST]
"
1878,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2019?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2019?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1879,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2020?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,",0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2020?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,[/INST]
[INST]The result value for the metric in 2022 is: 0[/INST]
"
1880,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2021?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",109.87,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2021?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 109.87[/INST]
"
1881,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2019?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,",0.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2019?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,[/INST]
[INST]The result value for the metric in 2022 is: 0.0[/INST]
"
1882,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2020?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,",0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2020?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   4 billion spent with B-BBEE businesses during the last financial year|
|---|---|---|
|Our Enterprise and Supplier Development (ESD) programme currently supports 198 suppliers|65% of our direct clothing suppliers employ one or more sustainable practices in producing goods|including 10 new SMME vendors|
|More than 200 SMMEs make use of Pick n Pay’s award-winning finance programme, Pick n Pay Fast Pay| | |

### Learnings and challenges

Load-shedding,[/INST]
[INST]The result value for the metric in 2022 is: 0[/INST]
"
1883,the value of B-BBEE compliant suppliers in Oceana1&2 document in 2021?,"8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##",109.87,"[INST] Given the question and context, extract the value of the metric .

Question: the value of B-BBEE compliant suppliers in Oceana1&2 document in 2021?[/INST] [INST]Context: 8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.  
   •  The company is committed to economic sustainability and continues to assess its business approach to responsible strategic sourcing, empowerment and preferential procurement, considering employment equity, skills development and B-BBEE within the Southern African context. The company is committed to meeting B-BBEE requirements in South Africa and annually conducts a B-BBEE audit assessment through 1st Verification Networx, an accredited institution. Significant strides have been made to ensure that a Level 2 B-BBEE rating was achieved in the coming period.

The company’s B-BBEE rating scorecard and certificate are available on the website.  
   8|5.7|Limited to B-BBEE (South Africa)|
|Local procurement as a percentage of total (South Africa) (%)||77.9|86.2|94.7|93.7|Limited to B-BBEE (South Africa)|
|Local procurement spend (% of Group spend)||68.2|76.2|70.2|76.8| |

##[/INST]
[INST]The result value for the metric in 2022 is: 109.87[/INST]
"
1884,"the value of Community development expenditure (SA, US and Namibia) in Oceana1&2 document in 2019?","8 billion) in wages, bonuses and benefits to employees| | | | | |
|R302 million (2022: R552 million) spent on building decent housing for employees in South Africa and Zimbabwe| | | | | |

| |Importance|
|---|---|
| |Relevance|
| |External review|
| |Internal review|

| |Prioritised|
|---|---|
| |Identified|
---
## Introduction

## Group overview

## Leadership reviews

## Governance

## Our social performance

## Our environmental performance

## Appendix

Identified material matters
Collectively,  
   4 billion|R3.3 billion|
|Socio-economic development spend including donations|R342 million|R228 million|
|Housing and living conditions|R313 million|R551 million|
|Sustainable development spend*|R655 million|R779 million|

* Sustainable development spend is the sum total of socio-economic development spend including donations and spend on housing and living conditions. This year the Group corporate office donated R18 million to, among others, disaster relief and gender-based violence initiatives in South Africa.  
   1|22 972.3|20 107.6|16 303.6| | |
|23 Rand Million Value of Capital Expenditures (Capex)| |4 000.0|2 500.0|1 600.0|1 700.0| | |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE COMMENTS|
|---|---|---|---|---|---|---|---|
|Governance| | | |",6700000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Community development expenditure (SA, US and Namibia) in Oceana1&2 document in 2019?[/INST] [INST]Context: 8 billion) in wages, bonuses and benefits to employees| | | | | |
|R302 million (2022: R552 million) spent on building decent housing for employees in South Africa and Zimbabwe| | | | | |

| |Importance|
|---|---|
| |Relevance|
| |External review|
| |Internal review|

| |Prioritised|
|---|---|
| |Identified|
---
## Introduction

## Group overview

## Leadership reviews

## Governance

## Our social performance

## Our environmental performance

## Appendix

Identified material matters
Collectively,  
   4 billion|R3.3 billion|
|Socio-economic development spend including donations|R342 million|R228 million|
|Housing and living conditions|R313 million|R551 million|
|Sustainable development spend*|R655 million|R779 million|

* Sustainable development spend is the sum total of socio-economic development spend including donations and spend on housing and living conditions. This year the Group corporate office donated R18 million to, among others, disaster relief and gender-based violence initiatives in South Africa.  
   1|22 972.3|20 107.6|16 303.6| | |
|23 Rand Million Value of Capital Expenditures (Capex)| |4 000.0|2 500.0|1 600.0|1 700.0| | |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE COMMENTS|
|---|---|---|---|---|---|---|---|
|Governance| | | |[/INST]
[INST]The result value for the metric in 2022 is: 6700000.0[/INST]
"
1885,"the value of Community development expenditure (SA, US and Namibia) in Oceana1&2 document in 2020?","8 billion) in wages, bonuses and benefits to employees| | | | | |
|R302 million (2022: R552 million) spent on building decent housing for employees in South Africa and Zimbabwe| | | | | |

| |Importance|
|---|---|
| |Relevance|
| |External review|
| |Internal review|

| |Prioritised|
|---|---|
| |Identified|
---
## Introduction

## Group overview

## Leadership reviews

## Governance

## Our social performance

## Our environmental performance

## Appendix

Identified material matters
Collectively,  
   4 billion|R3.3 billion|
|Socio-economic development spend including donations|R342 million|R228 million|
|Housing and living conditions|R313 million|R551 million|
|Sustainable development spend*|R655 million|R779 million|

* Sustainable development spend is the sum total of socio-economic development spend including donations and spend on housing and living conditions. This year the Group corporate office donated R18 million to, among others, disaster relief and gender-based violence initiatives in South Africa.  
   1|22 972.3|20 107.6|16 303.6| | |
|23 Rand Million Value of Capital Expenditures (Capex)| |4 000.0|2 500.0|1 600.0|1 700.0| | |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE COMMENTS|
|---|---|---|---|---|---|---|---|
|Governance| | | |",9100000.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Community development expenditure (SA, US and Namibia) in Oceana1&2 document in 2020?[/INST] [INST]Context: 8 billion) in wages, bonuses and benefits to employees| | | | | |
|R302 million (2022: R552 million) spent on building decent housing for employees in South Africa and Zimbabwe| | | | | |

| |Importance|
|---|---|
| |Relevance|
| |External review|
| |Internal review|

| |Prioritised|
|---|---|
| |Identified|
---
## Introduction

## Group overview

## Leadership reviews

## Governance

## Our social performance

## Our environmental performance

## Appendix

Identified material matters
Collectively,  
   4 billion|R3.3 billion|
|Socio-economic development spend including donations|R342 million|R228 million|
|Housing and living conditions|R313 million|R551 million|
|Sustainable development spend*|R655 million|R779 million|

* Sustainable development spend is the sum total of socio-economic development spend including donations and spend on housing and living conditions. This year the Group corporate office donated R18 million to, among others, disaster relief and gender-based violence initiatives in South Africa.  
   1|22 972.3|20 107.6|16 303.6| | |
|23 Rand Million Value of Capital Expenditures (Capex)| |4 000.0|2 500.0|1 600.0|1 700.0| | |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE COMMENTS|
|---|---|---|---|---|---|---|---|
|Governance| | | |[/INST]
[INST]The result value for the metric in 2022 is: 9100000.0[/INST]
"
